ISBN,End Date,Title,Author,Interval,Volume,Value,ASP,RRP,Binding,Imprint,Publisher Group,Product Class,Product Category,Publication Date,Country of Publication
9780241003008,2012-07-21,"Very Hungry Caterpillar,The","Carle, Eric",201230,634.0,3547.3,5.5951,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-07-21,"Very Hungry Caterpillar,The","Carle, Eric",201230,0.0,3547.3,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-07-21,"Alchemist,The","Coelho, Paulo",201230,504.0,3536.36,7.0166,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780241003008,2012-07-28,"Very Hungry Caterpillar,The","Carle, Eric",201231,556.0,3056.95,5.4981,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780140500875,2012-07-28,"Very Hungry Caterpillar,The","Carle, Eric",201231,0.0,3056.95,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780722532935,2012-07-28,"Alchemist,The","Coelho, Paulo",201231,436.0,3139.58,7.2009,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780722532935,2012-08-04,"Alchemist,The","Coelho, Paulo",201232,435.0,3050.87,7.0135,9.99,Paperback,Thorsons,HarperCollins Grp,F1.1 General & Literary Fiction,F - Adult Fiction,1995-11-13,United Kingdom
9780140500875,2012-08-04,"Very Hungry Caterpillar,The","Carle, Eric",201232,0.0,3516.99,0.0,4.99,Paperback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1974-03-28,United Kingdom
9780241003008,2012-08-04,"Very Hungry Caterpillar,The","Carle, Eric",201232,630.0,3516.99,5.5825,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
9780241003008,2012-08-11,"Very Hungry Caterpillar,The","Carle, Eric",201233,641.0,3621.72,5.6501,7.99,Hardback,Puffin Books,Penguin Grp,Y1.3 Picture Books,"Y Children's, YA & Educational",1994-09-29,United Kingdom
